"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Bắt buộc"
"Address","Địa chỉ"
"Address Information","Thông tin địa chỉ"
"Already registered?","Sẵn sàng đăng kí?"
"Back","Back"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Bằng cách tạo một tài khoản, bạn sẽ có thể thanh toán nhanh hơn, lưu trữ nhiều địa chỉ gửi hàng, xem và theo dõi đơn đặt hàng của bạn trong tài khoản và nhiều hơn nữa"
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Thanh toán với vai trò khách thăm "
"Checkout as a Guest or Register","Thanh toán với vai trò khách thăm hoặc đăng kí"
"City","Thành phố"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Close"
"Company","Company"
"Confirm Password","Xác nhận mật khẩu"
"Continue","Tiếp tục"
"Country","Country"
"Create an Account","Tạo tài khoản"
"Easy access to your order history and status","Dễ dàng truy cập vào lịch sử và trạng thái đơn hàng"
"Email Address","Email"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Thanh toán nhanh chóng và dễ dàng"
"Fax","Fax"
"Forgot Your Password?","Quên mật khẩu?"
"Forgot your password?","Quên mật khẩu?"
"General Options","General Options"
"If you have an account with us, please log in.","Nếu bạn đã có tài khoản, vui lòng đăng nhập."
"Loading next step...","Đang chuyển sang bước tiếp theo..."
"Login","Đăng nhập"
"Login Information","Thông tin đăng nhập"
"Login or Create an Account","Tạo tài khoản hoặc đăng nhập"
"New Customers","Khách hàng mới"
"Password","Mật khẩu"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Thông tin cá nhân"
"Please log in below:","Vui lòng đăng nhập dưới đây:"
"Please select region, state or province","Please select region, state or province"
"Register","Đăng kí"
"Register and save time!","Register and save time!"
"Register to Create an Account","Đăng kí để tạo tài khoản mới"
"Register with us for future convenience:","Đăng ký với chúng tôi để liên lạc sau này:"
"Registered Customers","Khách hàng đã đăng kí"
"Remember Me","Ghi nhớ"
"Save in address book","Lưu trong sổ địa chỉ"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Chọn một địa chỉ thanh toán từ sổ địa chỉ của bạn hoặc nhập một địa chỉ mới."
"Ship to different address","Giao hàng đến nhiều địa chỉ"
"Ship to this address","Giao hàng đến địa chỉ này"
"Sign Up for Newsletter","Đăng kí nhận thông tin "
"State/Province","State/Province"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Gửi"
"Telephone","Số điện thoại"
"VAT Number","VAT Number"
"Welcome, %s!","XIn chào, %s!"
"What\'s this?","What\'s this?"
"Zip/Postal Code","Zip/Postal Code"
